text,label,label_id,outlet,label_source,outlet_group,word_count,char_count,has_question,has_colon,has_exclaim,caps_word_ratio,avg_word_len,form_score,m_reveal,m_authority,m_cata,m_withhold,m_vague,m_emo,m_list,m_addr,m_q,m_colon,split
Вчені створили вакцину від раку товстої кишки на основі стовбурових клітин,neutral,0,ukr.media,llm,ukrmedia,11,74,0,0,0,0.0,5.818,1,0,1,0,0,0,0,0,0,0,0,val
"«Росію визнано більш небезпечною, ніж Україна», – Михайло Шейтельман про індекс світу",neutral,0,politeka.net,llm,znaj_holding,11,85,0,0,0,0.0,6.273,0,0,0,0,0,0,0,0,0,0,0,train
"Названо небезпечну фразу під час сварки, яка спричинює 90% розлучень у стосунках",clickbait,1,ukr.media,llm,ukrmedia,12,80,0,0,0,0.0,5.583,1,1,0,0,0,0,0,0,0,0,0,train
У Чернігові російський дрон влучив у дев’ятиповерхівку – МВА,neutral,0,pravda.com.ua,llm,quality,9,60,0,0,0,0.1111,5.556,0,0,0,0,0,0,0,0,0,0,0,train
"Гроші від схем Артема Шило із закупівлями трансформаторів для ""Укрзалізниці"" йшли на салони краси його дружини Ірини – ЗМІ",neutral,0,znaj.ua,llm,znaj_holding,18,122,0,0,0,0.0556,5.611,0,0,0,0,0,0,0,0,0,0,0,train
"Як стати модною та щасливою, якщо немає грошей",clickbait,1,ukr.media,llm,ukrmedia,8,46,0,0,0,0.0,4.75,1,0,0,0,0,0,0,0,0,1,0,val
"До середини осені росія буде більш активно, жорстко атакувати на фронті, - думка експерта",neutral,0,politeka.net,llm,znaj_holding,14,89,0,0,0,0.0,5.286,1,0,1,0,0,0,0,0,0,0,0,train
"Шатдаун, Газа, Венесуела: експерт пояснив, чому Трамп не активний у російсько-українській війні",clickbait,1,politeka.net,llm,znaj_holding,12,95,0,1,0,0.0,6.667,3,1,1,0,0,0,0,0,0,0,1,train
Захисники завадили трьом російським ДРГ пробратися вглиб України,neutral,0,pravda.com.ua,llm,quality,8,64,0,0,0,0.125,7.125,0,0,0,0,0,0,0,0,0,0,0,train
Глава генштабу окупантів поскаржився на високу інтенсивність військових дій – такого Росія ще не знала,neutral,0,pravda.com.ua,llm,quality,14,102,0,0,0,0.0,6.214,0,0,0,0,0,0,0,0,0,0,0,train
"""У ній же спекотно?"": Навіщо жителі пустель носять чорний одяг",clickbait,1,ukr.media,llm,ukrmedia,10,62,1,1,0,0.0,4.9,0,0,0,0,0,0,0,0,0,0,0,train
"Робили корм для худоби, а тепер БПЛА збирають: в Міноборони не помітили, куди зник 1 млрд грн",neutral,0,znaj.ua,llm,znaj_holding,17,93,0,1,0,0.0588,4.353,2,0,0,0,0,0,0,1,0,0,1,train
У парламенті самопроголошеної Абхазії сталася стрілянина: загинув депутат,neutral,0,hromadske.ua,llm,quality,8,73,0,1,0,0.0,8.125,1,0,0,0,0,0,0,0,0,0,1,train
"""Двадцатівські"": начальник ДСР Андрій Рубель розповів, як вдалося накрити масштабний наркосиндикат",clickbait,1,znaj.ua,llm,znaj_holding,11,98,0,1,0,0.0909,7.636,1,1,0,0,0,0,0,0,0,0,0,train
Що ховається у бадиллі фермерських овочів,clickbait,1,ukr.media,llm,ukrmedia,6,41,0,0,0,0.0,6.0,1,0,0,0,0,0,0,0,0,1,0,train
"Використовуйте термозахисні засоби та інші способи укладання, щоб зберегти здоров’я волосся",clickbait,1,ukr.media,llm,ukrmedia,12,91,0,0,0,0.0,6.583,1,0,0,0,0,1,0,0,0,0,0,train
Представники понад 70 держав відвідали місця ударів РФ на Лук'янівці,neutral,0,pravda.com.ua,llm,quality,10,68,0,0,0,0.0,5.9,1,0,0,0,0,0,0,1,0,0,0,train
На окупованій Донеччині за тиждень понад 230 людей отруїлися водою — представник омбудсмена,neutral,0,hromadske.ua,llm,quality,12,91,0,0,0,0.0,6.5,0,0,0,0,0,0,0,0,0,0,0,train
Від гною до кісткового борошна: універсальні добрива для яблунь і правила їх використання восени,neutral,0,ukr.media,llm,ukrmedia,14,96,0,1,0,0.0,5.857,1,0,0,0,0,0,0,0,0,0,1,train
"Більшість угорців не підтримують росію, а путін тут дуже непопулярний, - угорський експерт",neutral,0,politeka.net,llm,znaj_holding,13,90,0,0,0,0.0,5.846,1,0,1,0,0,0,0,0,0,0,0,train
"Що додати до кави, щоб худнути швидше: несподіваний інгредієнт",clickbait,1,ukr.media,llm,ukrmedia,9,62,0,1,0,0.0,5.778,4,0,0,0,0,1,1,0,0,1,1,val
На ранок вже можна цілуватися: як позбутися герпесу за одну ніч без ліків,clickbait,1,znaj.ua,llm,znaj_holding,13,73,0,1,0,0.0,4.615,1,0,0,0,0,0,0,0,0,0,1,val
"Душ, окуляри, та зачинені вікна: як полегшити симптоми алергії",clickbait,1,znaj.ua,llm,znaj_holding,9,62,0,1,0,0.0,5.667,1,0,0,0,0,0,0,0,0,0,1,train
"Українці несвідомо спонсорують війну: Іран потайки постачає продукти в Україну, фінансуючи нові Shahed",clickbait,1,znaj.ua,llm,znaj_holding,13,102,0,1,0,0.0,6.769,1,0,0,0,0,1,0,0,0,0,0,train
2 млрд збитків державі у вугільній сфері: поліція та ДБР затримали бізнесмена Кропачова,neutral,0,znaj.ua,llm,znaj_holding,13,87,0,1,0,0.0769,5.692,2,0,0,0,0,0,0,1,0,0,1,train
Удар по нафтобазі на Луганщині та реакція на інцидент із ТЦК після концерту «Океану Ельзи»: головне за 12 жовтня,neutral,0,hromadske.ua,llm,quality,19,112,0,1,0,0.0526,4.789,1,0,0,0,0,0,0,1,0,0,0,train
"Каменських показала, як відсвяткувала 38-річчя за кордоном з Потапом",neutral,0,ukr.media,llm,ukrmedia,9,68,0,0,0,0.0,6.556,1,1,0,0,0,0,0,0,0,0,0,val
"Шкідливіше, ніж кава та алкоголь: лікарі назвали напій, який ""вбиває"" вашу печінку",clickbait,1,znaj.ua,llm,znaj_holding,12,82,0,1,0,0.0,5.5,5,1,1,0,0,1,0,0,1,0,1,test
"Захистять від сезонних захворювань: лікарі назвали 5 ""противовірусних"" напоїв",clickbait,1,znaj.ua,llm,znaj_holding,9,77,0,1,0,0.0,7.333,3,1,1,0,0,0,0,0,0,0,1,val
Як у Донецькій області: військовий експерт розповів про тактику окупантів на Курщині,clickbait,1,politeka.net,llm,znaj_holding,12,84,0,1,0,0.0,6.0,4,1,1,0,0,0,0,0,0,1,1,test
99-й день повномасштабної війни росії проти України (текстовий онлайн),neutral,0,hromadske.ua,llm,quality,9,70,0,0,0,0.0,6.667,0,0,0,0,0,0,0,0,0,0,0,test
Два кити встановили новий рекорд міграції: вчені здивовані,clickbait,1,zn.ua,llm,quality,8,58,0,1,0,0.0,6.25,2,0,1,0,0,0,0,0,0,0,1,train
Генштаб підтвердив ураження заводу з виробництва ударних БпЛА в Татарстані,neutral,0,pravda.com.ua,llm,quality,10,74,0,0,0,0.0,6.5,0,0,0,0,0,0,0,0,0,0,0,train
ЗСУ втягнули росіян у пастку на Курщині: експерт розповів про тактичний план української армії,clickbait,1,politeka.net,llm,znaj_holding,14,94,0,1,0,0.0714,5.714,3,1,1,0,0,0,0,0,0,0,1,train
Скоро ми побачимо серію ударів у Балтійському морі: експерт розповів про нові успішні атаки ВСУ,clickbait,1,politeka.net,llm,znaj_holding,15,95,0,1,0,0.0667,5.333,3,1,1,0,0,0,0,0,0,0,1,train
Не тільки до 26: Ді Капріо порушив свій пункт щодо віку пасій,clickbait,1,ukr.media,llm,ukrmedia,12,61,0,1,0,0.0,4.083,0,0,0,0,0,0,0,0,0,0,0,train
У США не знали про наміри ліквідувати російського генерала Кирилова,neutral,0,hromadske.ua,llm,quality,10,67,0,0,0,0.1,5.8,0,0,0,0,0,0,0,0,0,0,0,train
Помер народний депутат Іванчук,neutral,0,pravda.com.ua,llm,quality,4,30,0,0,0,0.0,6.75,0,0,0,0,0,0,0,0,0,0,0,test
"Нав'язують непотрібні платні послуги: як ""Ощад"" наживається на довірливих пенсіонерах",clickbait,1,znaj.ua,llm,znaj_holding,10,85,0,1,0,0.0,7.3,1,0,0,0,0,0,0,0,0,0,1,train
"СБУ ""вполювала"" в Криму 3 судна російського флоту",neutral,0,pravda.com.ua,llm,quality,8,49,0,0,0,0.125,5.0,1,0,0,0,0,0,0,1,0,0,0,train
Зеленський прилетів до Парижа,neutral,0,pravda.com.ua,llm,quality,4,29,0,0,0,0.0,6.5,0,0,0,0,0,0,0,0,0,0,0,train
"Прогноз погоди на тиждень з 11 по 17 лютого у Запоріжжі: метеорологи назвали дати, в які чекати потепління",clickbait,1,politeka.net,llm,znaj_holding,18,106,0,1,0,0.0,4.833,3,1,0,0,0,0,0,1,0,0,1,train
"Чому вода лише погіршує ситуацію, коли обпікає гостра їжа — і що справді допоможе",clickbait,1,ukr.media,llm,ukrmedia,13,81,0,0,0,0.0,5.077,1,0,0,0,0,0,0,0,0,1,0,train
У Києві закрили станцію метро «Дніпро». На місце прибули вибухотехніки (ДОПОВНЕНО),neutral,0,hromadske.ua,llm,quality,11,82,0,0,0,0.0909,6.091,0,0,0,0,0,0,0,0,0,0,0,train
Гороскоп на 17 грудня 2025 року — що обіцяють астрологи,clickbait,1,ukr.media,llm,ukrmedia,9,55,0,0,0,0.0,5.0,2,0,1,0,0,0,0,1,0,0,0,train
Кольоровий піт: що він означає та чи варто хвилюватися,clickbait,1,znaj.ua,llm,znaj_holding,9,54,0,1,0,0.0,5.0,1,0,0,0,0,0,0,0,0,0,1,train
"Смертельне ДТП у Дніпрі вже намагаються ""зам'яти"", знайшли нового водія: ""Там рівень ах***шесті такий, що...""",neutral,0,znaj.ua,llm,znaj_holding,16,109,0,1,0,0.0625,5.125,0,0,0,0,0,0,0,0,0,0,0,train
"100-річного сера Тома Мура, який зібрав понад £33 млн для британських медиків, ушпиталили з COVID-19",neutral,0,hromadske.ua,llm,quality,15,100,0,0,0,0.0667,5.533,2,0,1,0,0,0,0,1,0,0,0,train
"Нічна атака на Одесу ''Шахедами"": руйнування, пожежа, постраждало дев’ятеро людей, серед яких діти",neutral,0,pravda.com.ua,llm,quality,14,98,0,1,0,0.0,5.714,0,0,0,0,0,0,0,0,0,0,0,train
"Це страшне питання – соціолог оцінив, що буде, якщо Зеленський не піде на другий термін",clickbait,1,pravda.com.ua,llm,quality,14,87,0,0,0,0.0,5.0,2,1,0,1,0,0,0,0,0,0,0,train
"Шпаргалка городника: як за листям зрозуміти, чого хоче розсада",clickbait,1,ukr.media,llm,ukrmedia,9,62,0,1,0,0.0,5.778,1,0,0,0,0,0,0,0,0,0,1,train
"НАБУ задокументувала розмови Міндіча з Шефіром, Умєровим і ""Наталією"" – УП публікує першу частину ""плівок""",neutral,0,pravda.com.ua,llm,quality,14,106,0,0,0,0.0714,6.143,0,0,0,0,0,0,0,0,0,0,0,train
"Як лайка допомагає зменшити біль, ось що виявили науковці",clickbait,1,ukr.media,llm,ukrmedia,9,57,0,0,0,0.0,5.333,3,0,1,1,0,0,0,0,0,1,0,val
"Зеленський повідомив про підготовку нової зустрічі делегацій України, США та РФ",neutral,0,pravda.com.ua,llm,quality,11,79,0,0,0,0.0909,6.182,0,0,0,0,0,0,0,0,0,0,0,test
Президент Трамп підписав указ про вихід США з Паризької кліматичної угоди,neutral,0,pravda.com.ua,llm,quality,11,73,0,0,0,0.0909,5.727,0,0,0,0,0,0,0,0,0,0,0,test
Швидке схуднення чи дорога до проблем: чому цукрова дієта набирає популярності,clickbait,1,znaj.ua,llm,znaj_holding,11,78,0,1,0,0.0,6.091,1,0,0,0,0,0,0,0,0,0,1,train
Нові правила отримання субсидій: які державні виплати не впливатимуть на дохід сім'ї,clickbait,1,politeka.net,llm,znaj_holding,12,84,0,1,0,0.0,6.0,1,0,0,0,0,0,0,0,0,0,1,train
"Кому не можна робити МРТ зовсім, кому в принципі можна, але не бажано",clickbait,1,ukr.media,llm,ukrmedia,13,69,0,0,0,0.0769,4.231,0,0,0,0,0,0,0,0,0,0,0,train
"Politico: Європарламент погодив усіх кандидатів у єврокомісари, зокрема й угорського",neutral,0,pravda.com.ua,llm,quality,10,84,0,1,0,0.0,7.3,0,0,0,0,0,0,0,0,0,0,0,train
"Листопад порадує не лише Скорпіонів: знаки Зодіаку, яких успіх переслідуватиме",clickbait,1,znaj.ua,llm,znaj_holding,10,78,0,1,0,0.0,6.7,1,0,0,0,0,0,0,0,0,0,1,train
"Які компоненти у косметиці можна поєднувати, а які комбінації зіпсують шкіру",clickbait,1,znaj.ua,llm,znaj_holding,11,76,0,0,0,0.0,5.909,1,0,0,0,0,0,0,0,0,1,0,val
"""Після такої зухвалої операції вони не скоро зроблять наступний залп"": військовий Місюра пояснив важливість знищення пускової установки ""Бастіон-М"" в Криму",neutral,0,espreso.tv,llm,quality,20,155,0,1,0,0.0,6.55,1,1,0,0,0,0,0,0,0,0,0,train
Неїжпапа пояснив значення Севастополя для РФ: без нього неможливо утримувати флот,neutral,0,pravda.com.ua,llm,quality,11,81,0,1,0,0.0909,6.364,2,1,0,0,0,0,0,0,0,0,1,train
Боррель прибув до Києва,neutral,0,pravda.com.ua,llm,quality,4,23,0,0,0,0.0,5.0,0,0,0,0,0,0,0,0,0,0,0,test
"В Європі побоюються, що США втратять інтерес до війни в Україні через операцію Трампа проти Ірану, - Politico",neutral,0,espreso.tv,llm,quality,18,109,0,0,0,0.0556,5.0,0,0,0,0,0,0,0,0,0,0,0,train
ЗМІ: Кауфман хоче кинути бюджет України на 15 мільярдів,neutral,0,znaj.ua,llm,znaj_holding,9,55,0,1,0,0.1111,5.111,1,0,0,0,0,0,0,1,0,0,0,train
"ДТП Ар’євої, яка збила жінку на ""зебрі"": ексдепутатка Київради отримала умовний термін",neutral,0,pravda.com.ua,llm,quality,13,86,0,1,0,0.0769,5.385,0,0,0,0,0,0,0,0,0,0,0,val
Росіяни вдарили по Запоріжжю: є загиблий і 19 постраждалих,neutral,0,pravda.com.ua,llm,quality,9,58,0,1,0,0.0,5.444,2,0,0,0,0,0,0,1,0,0,1,train
Чи можна носити сонячні окуляри як ободок: правила поводження з аксесуаром,clickbait,1,ukr.media,llm,ukrmedia,11,74,0,1,0,0.0,5.727,2,0,0,0,0,0,0,0,0,1,1,test
Пройшли переговори омбудсменів України та РФ,neutral,0,pravda.com.ua,llm,quality,6,44,0,0,0,0.0,6.5,0,0,0,0,0,0,0,0,0,0,0,train
"""Криптогуру"" Олександр Орловський вліз у шалені борги: мільйони доларів та загроза екстрадиції",neutral,0,znaj.ua,llm,znaj_holding,12,94,0,1,0,0.0,6.667,1,0,0,0,0,0,0,0,0,0,1,train
"Душа стискається від темряви, від болю, горя та туги",clickbait,1,politeka.net,llm,znaj_holding,9,52,0,0,0,0.0,4.667,0,0,0,0,0,0,0,0,0,0,0,train
"Планка, йога чи пілатес: як силові вправи допомагають у період менопаузи",clickbait,1,znaj.ua,llm,znaj_holding,11,72,0,1,0,0.0,5.455,1,0,0,0,0,0,0,0,0,0,1,train
Путін не ворог – просто хоче забрати своє: що думає про війну електрорат Дональда Трампа,clickbait,1,znaj.ua,llm,znaj_holding,14,88,0,1,0,0.0,5.143,1,0,0,0,0,0,0,0,0,0,1,val
Макрон розповів про ризики війни в ЄС: рф готує мільйони солдатів і тисячі танків,neutral,0,politeka.net,llm,znaj_holding,14,81,0,1,0,0.0714,4.786,2,1,0,0,0,0,0,0,0,0,1,test
Гаррі Поттер і Великодня паска: завдяки ШІ відому історію показали по-іншому,neutral,0,espreso.tv,llm,quality,11,76,0,1,0,0.0,5.909,2,1,0,0,0,0,0,0,0,0,1,test
Розвінчуємо міфи про банани: чому цей фрукт корисний усім,clickbait,1,znaj.ua,llm,znaj_holding,9,57,0,1,0,0.0,5.333,1,0,0,0,0,0,0,0,0,0,1,train
Завершення опалювального сезону 2026 в Миколаївській області: коли чекати на відключення батарей,clickbait,1,politeka.net,llm,znaj_holding,12,96,0,1,0,0.0,7.0,1,0,0,0,0,0,0,0,0,0,1,train
20 найкращих серіалів від Netflix: найзахопливіші сюжети,clickbait,1,ukr.media,llm,ukrmedia,7,56,0,1,0,0.0,7.0,2,0,0,0,0,0,0,1,0,0,1,train
У Карпатах напали на автомобіль військового ТЦК. Що відомо?,neutral,0,hromadske.ua,llm,quality,9,59,1,0,0,0.1111,5.444,1,0,0,0,1,0,0,0,0,0,0,train
"Внаслідок ранкового російського удару по Харкову загинула жінка, ще 82 людини постраждали",neutral,0,pravda.com.ua,llm,quality,12,89,0,0,0,0.0,6.417,1,0,0,0,0,0,0,1,0,0,0,test
Забудьте про замочування в молоці: рекомендований замінник для готування печінки,clickbait,1,ukr.media,llm,ukrmedia,10,80,0,1,0,0.0,7.0,1,0,0,0,0,0,0,0,0,0,1,train
Зеленський підписав закон про перелік терористичних організацій і груп,neutral,0,pravda.com.ua,llm,quality,9,70,0,0,0,0.0,6.889,0,0,0,0,0,0,0,0,0,0,0,train
"Дрони над Кремлем: В ОП кажуть, що Росія явно готує теракт",neutral,0,pravda.com.ua,llm,quality,11,58,0,1,0,0.0,4.182,0,0,0,0,0,0,0,0,0,0,0,val
